ko05231	05231 Choline metabolism in cancer [PATH:ko05231]	
ko05235	05235 PD-L1 expression and PD-1 checkpoint pathway in cancer [PATH:ko05235]	
ko05210	05210 Colorectal cancer [PATH:ko05210]	
ko05212	05212 Pancreatic cancer [PATH:ko05212]	
ko05225	05225 Hepatocellular carcinoma [PATH:ko05225]	
ko05226	05226 Gastric cancer [PATH:ko05226]	
ko05214	05214 Glioma [PATH:ko05214]	
ko05216	05216 Thyroid cancer [PATH:ko05216]	
ko05221	05221 Acute myeloid leukemia [PATH:ko05221]	
ko05220	05220 Chronic myeloid leukemia [PATH:ko05220]	
ko05217	05217 Basal cell carcinoma [PATH:ko05217]	
ko05218	05218 Melanoma [PATH:ko05218]	
ko05211	05211 Renal cell carcinoma [PATH:ko05211]	
ko05219	05219 Bladder cancer [PATH:ko05219]	
ko05215	05215 Prostate cancer [PATH:ko05215]	
ko05213	05213 Endometrial cancer [PATH:ko05213]	
ko05224	05224 Breast cancer [PATH:ko05224]	
ko05222	05222 Small cell lung cancer [PATH:ko05222]	
ko05223	05223 Non-small cell lung cancer [PATH:ko05223]	
ko05166	05166 Human T-cell leukemia virus 1 infection [PATH:ko05166]	
ko05170	05170 Human immunodeficiency virus 1 infection [PATH:ko05170]	
ko05161	05161 Hepatitis B [PATH:ko05161]	
ko05160	05160 Hepatitis C [PATH:ko05160]	
ko05171	05171 Coronavirus disease - COVID-19 [PATH:ko05171]	
ko05164	05164 Influenza A [PATH:ko05164]	
ko05162	05162 Measles [PATH:ko05162]	
ko05168	05168 Herpes simplex virus 1 infection [PATH:ko05168]	
ko05163	05163 Human cytomegalovirus infection [PATH:ko05163]	
ko05167	05167 Kaposi sarcoma-associated herpesvirus infection [PATH:ko05167]	
ko05169	05169 Epstein-Barr virus infection [PATH:ko05169]	
ko05165	05165 Human papillomavirus infection [PATH:ko05165]	
ko05110	05110 Vibrio cholerae infection [PATH:ko05110]	
ko05120	05120 Epithelial cell signaling in Helicobacter pylori infection [PATH:ko05120]	T
ko05130	05130 Pathogenic Escherichia coli infection [PATH:ko05130]	
ko05132	05132 Salmonella infection [PATH:ko05132]	
ko05131	05131 Shigellosis [PATH:ko05131]	
ko05135	05135 Yersinia infection [PATH:ko05135]	
ko05133	05133 Pertussis [PATH:ko05133]	
ko05134	05134 Legionellosis [PATH:ko05134]	
ko05150	05150 Staphylococcus aureus infection [PATH:ko05150]	
ko05152	05152 Tuberculosis [PATH:ko05152]	
ko05100	05100 Bacterial invasion of epithelial cells [PATH:ko05100]	
ko05146	05146 Amoebiasis [PATH:ko05146]	
ko05144	05144 Malaria [PATH:ko05144]	
ko05145	05145 Toxoplasmosis [PATH:ko05145]	
ko05140	05140 Leishmaniasis [PATH:ko05140]	
ko05142	05142 Chagas disease [PATH:ko05142]	
ko05143	05143 African trypanosomiasis [PATH:ko05143]	
ko05310	05310 Asthma [PATH:ko05310]	
ko05322	05322 Systemic lupus erythematosus [PATH:ko05322]	
ko05323	05323 Rheumatoid arthritis [PATH:ko05323]	
ko05320	05320 Autoimmune thyroid disease [PATH:ko05320]	
ko05321	05321 Inflammatory bowel disease [PATH:ko05321]	
ko05330	05330 Allograft rejection [PATH:ko05330]	
ko05332	05332 Graft-versus-host disease [PATH:ko05332]	
ko05340	05340 Primary immunodeficiency [PATH:ko05340]	
ko05010	05010 Alzheimer disease [PATH:ko05010]	
ko05012	05012 Parkinson disease [PATH:ko05012]	
