target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymEpi4_24825trans,0.000147107,0.00283014,-2.641289804,0.695826494,1.81830175,2.714940169,0.225136054,0.616823533,0.743212965,0.743212965
SymEpi2_69772trans,0.000150221,0.002857575,-3.683274538,0.97165981,2.690735224,5.494642296,0.127077834,1.761167737,0.310501999,1.761167737
ApoEpi1_24213trans,0.00015639,0.002941871,-2.81172449,0.74370537,2.315123873,3.206965906,0.465678745,0.640516609,0.441604649,0.640516609
ApoGas3_27948trans,0.000159986,0.002976446,4.386308867,1.161925815,2.653109813,7.811467165,0.021531405,2.678611795,0.32080076,2.678611795
SymEpi3_15431trans,0.00017039,0.003124554,-3.504470335,0.932213697,1.059087987,3.631552295,0.167942788,-0.024902553,1.570101966,1.570101966
SymEpi3_28968trans,0.000171638,0.003124554,-2.774255344,0.738330187,2.29848555,3.133509001,0.207958745,0.882304184,0.448892582,0.882304184
ApoGas2_30452trans,0.000209433,0.00377203,-1.386262255,0.373921957,6.342985747,0.788751091,0.002388207,0.277247054,0.098868819,0.277247054
SymEpi4_19283trans,0.000277872,0.004951963,-2.728384244,0.750566236,1.610336477,2.583800766,0.208792057,0.324281977,0.917907293,0.917907293
SymEpi4_29496trans,0.000291333,0.00513777,-2.959499178,0.816889605,1.299024084,3.252867615,0.08597211,0.789494981,1.248645144,1.248645144
SymEpi4_21485trans,0.000295695,0.005160939,-1.577162664,0.435795518,2.873544855,0.972512425,0.110884293,0.194566179,0.268951174,0.268951174
SymGas4_80687trans,0.000302706,0.005229397,-2.17687804,0.602517044,2.714567156,1.897538881,0.421760587,0.212435441,0.304292989,0.304292989
SymGas4_82840trans,0.000319234,0.005459223,-1.946320865,0.540769297,2.587234712,1.311446837,0.244546211,0.022753462,0.340316653,0.340316653
ApoEpi1_20482trans,0.000385978,0.006534612,-2.179793122,0.614114475,2.634277631,2.004090738,0.223193827,0.53107935,0.326185768,0.53107935
ApoEpi4_52130trans,0.000393902,0.006537999,1.165775252,0.328930725,6.03234577,0.573772705,0.003449636,0.212941208,0.10095815,0.212941208
SymEpi1_75188trans,0.000392114,0.006537999,-2.830571771,0.798393191,1.638772036,3.015270016,0.382985368,0.464117467,0.891878008,0.891878008
SymEpi3_38157trans,0.000432401,0.007054156,-1.874530412,0.532616456,2.646687723,1.276078259,0.244740791,0.072729089,0.322619787,0.322619787
SymEpi2_16745trans,0.000433333,0.007054156,-2.116002573,0.601324242,4.014469051,1.899146272,0.150758245,0.572423442,0.148986547,0.572423442
SymEpi4_27607trans,0.000447596,0.007216953,-2.18767828,0.623216333,4.140698724,2.033236527,0.040683102,0.736114094,0.14250307,0.736114094
ApoGas4_58802trans,0.000492587,0.00786745,-2.051679139,0.588758423,2.323075535,1.796916048,0.232504801,0.460768159,0.438166068,0.460768159
ApoGas4_16369trans,0.00049841,0.007886054,1.031423158,0.296248941,4.036143978,0.427717975,0.027730871,0.116662189,0.147795999,0.147795999
SymEpi3_45445trans,0.000508388,0.007969454,-1.468916809,0.422552107,2.852215715,0.881443103,0.083972335,0.225139087,0.273128232,0.273128232
SymEpi4_21047trans,0.000539369,0.008153148,-0.84591847,0.244456703,5.180317251,0.276666808,0.00732248,0.076929443,0.112195679,0.112195679
SymEpi4_23120trans,0.000533556,0.008153148,-2.818482081,0.813809664,2.42013884,3.405016646,0.157344115,1.167228224,0.398519245,1.167228224
SymEpi2_70970trans,0.000530083,0.008153148,-2.211167068,0.638129589,2.134171033,1.564630374,0.281770968,-0.086122132,0.532647777,0.532647777
SymGas1_86996trans,0.000535376,0.008153148,-2.269721889,0.655533782,3.059610066,2.208567053,0.150270719,0.709178359,0.237633816,0.709178359
SymEpi3_33063trans,0.00057965,0.008684484,-2.30233139,0.669095236,2.043359938,1.97481284,0.307696066,0.229342304,0.587680804,0.587680804
ApoEpi1_19411trans,0.000613596,0.009076861,2.930234579,0.85541002,1.447814298,3.56841603,0.38368283,0.917377642,1.079769775,1.079769775
SymEpi2_4420trans,0.000616562,0.009076861,-2.944729153,0.859970219,2.806728548,3.745349271,0.078097156,1.401000398,0.282570423,1.401000398
SymGas3_41740trans,0.000660556,0.009640702,-2.951573654,0.866721122,1.521544444,2.976895889,0.498829286,0.070286907,1.003581721,1.003581721
SymEpi4_36261trans,0.000699097,0.010067553,-2.900339793,0.855574333,2.100860998,3.65829016,0.547197903,0.916816977,0.552179693,0.916816977
SymEpi2_12591trans,0.000701696,0.010067553,-2.254047528,0.665123532,2.05499451,1.643161939,0.304453321,-0.081007811,0.580325304,0.580325304
SymGas3_70596trans,0.000755382,0.010746742,-2.167657309,0.643480192,2.667034189,2.052325358,0.392386372,0.435747142,0.316918195,0.435747142
SymGas3_30921trans,0.000807573,0.011393512,-2.659189428,0.793743826,2.197981515,2.817546445,0.762515601,0.167525781,0.497542922,0.497542922
SymGas3_127216trans,0.000851433,0.011913027,3.044227983,0.912672615,1.737226754,4.075757666,0.245398,1.420544606,0.80702064,1.420544606
ApoEpi3_14859trans,0.000876127,0.012158062,-1.715761802,0.515622885,4.285433234,1.21142423,0.395492064,0.036556684,0.136241855,0.136241855
SymGas3_46080trans,0.000916917,0.012620652,-2.188127902,0.660098237,2.274565815,1.678091948,0.411754587,-0.049948552,0.459704777,0.459704777
SymEpi2_64482trans,0.000928413,0.012675838,0.998795835,0.301626433,4.358224705,0.440989758,0.021121018,0.160835992,0.133482439,0.160835992
SymEpi4_15904trans,0.001123141,0.015211823,-2.786158849,0.855250059,1.271556212,2.78848123,0.180695457,0.484972266,1.28220987,1.28220987
