target_id	length	eff_length	est_counts	tpm
ApoEc3_23669trans	327	1177.27	0	0
ApoEc3_23670trans	324	1165.77	0	0
ApoEc3_24187trans	1050	5513.86	15.0209	0.353331
ApoEc3_24194trans	534	2125.97	0	0
ApoEc3_24304trans	1632	10800.7	7.38067	0.0886312
ApoEc3_25525trans	336	1101	4.74853	0.55939
ApoEc3_25526trans	330	218.296	2.07103	1.2305
ApoEc3_25990trans	477	2070.71	42.4763	2.66053
ApoEc3_26006trans	324	1237.81	27.5567	2.88746
ApoEc3_26135trans	351	1651.85	188.688	14.8154
ApoEc3_26191trans	582	3576.73	992.363	35.9854
ApoEc3_26528trans	561	3031.29	33.4661	1.43192
ApoEc3_26529trans	441	328.99	12.7389	5.02217
ApoEc3_27062trans	570	457.879	1.6211	0.459199
ApoEc3_27064trans	315	203.427	0	0
ApoEc3_27070trans	600	2890.96	89.0884	3.99687
ApoEc3_27072trans	915	5725.65	134.319	3.04266
ApoEc3_27073trans	345	1265.48	93.5895	9.59208
ApoEc3_27075trans	864	5738.01	53.2732	1.20417
ApoEc3_27251trans	459	1953.6	443.208	29.4247
ApoEc3_27415trans	432	1510.34	17	1.45988
ApoEc3_27826trans	375	1822.25	10.5049	0.747695
ApoEc3_27828trans	744	3637.15	21.8266	0.778332
ApoEc3_27830trans	657	1395.54	36.5035	3.3926
ApoEc3_27838trans	531	418.879	20.6047	6.37996
ApoEc3_27975trans	915	5533.03	44.4748	1.04254
ApoEc3_27980trans	1743	11330.7	77.6849	0.889243
ApoEc3_28887trans	1197	3011.39	211.136	9.09363
ApoEc3_29170trans	399	1937.99	43.6105	2.91864
ApoEc3_29318trans	489	1819.96	61.6732	4.39517
ApoEc3_30178trans	405	1970.8	5.49015	0.361311
ApoEc3_30633trans	1059	5909.12	2782.37	61.0707
ApoEc3_31100trans	312	1144.07	438.325	49.692
ApoEc3_31398trans	3615	23428.7	319.297	1.76761
ApoEc3_31401trans	969	5554.19	0	0
ApoEc3_31402trans	969	2236.25	95.5135	5.53969
ApoEc3_31489trans	714	3647.37	63	2.24027
ApoEc3_34805trans	1152	6796.82	0	0
ApoEc3_34812trans	8040	52477.6	893.697	2.2088
ApoEc3_34814trans	6129	39730	1995.82	6.51546
ApoEc3_34820trans	465	1798.24	1.21178	0.0874015
ApoEc3_35160trans	1596	10589.2	373	4.56863
ApoEc3_35618trans	459	2277.83	7.98432	0.45463
ApoEc3_35620trans	330	1353.29	22.4974	2.15618
ApoEc3_35622trans	411	2119.63	11.2864	0.690613
ApoEc3_35625trans	357	1664.57	0	0
ApoEc3_35938trans	735	3640.91	0.437913	0.0155998
ApoEc3_36023trans	312	1253	2.3622	0.244515
ApoEc3_36138trans	336	1392.49	1.28676	0.119853
ApoEc3_36390trans	450	2489.88	0	0
ApoEc3_36391trans	450	2308.64	2.44168	0.137174
ApoEc3_36492trans	561	3049.26	1.66353	0.0707584
ApoEc3_36570trans	417	1838.99	6.19501	0.436922
ApoEc3_36971trans	405	2085.81	1.16512	0.07245
ApoEc3_37294trans	438	2969.93	9.79179	0.42762
ApoEc3_37339trans	666	3724.16	0	0
ApoEc3_37915trans	618	3216.5	17.1234	0.690475
ApoEc3_38247trans	384	1923.9	67.4413	4.54659
ApoEc3_38603trans	480	367.911	0	0
ApoEc3_38629trans	456	343.938	0	0
ApoEc3_38676trans	366	254.098	0	0
ApoEc3_38740trans	366	140.169	446775	413406
ApoEc3_38770trans	345	233.155	0	0
ApoEc3_39142trans	633	3295.89	0	0
ApoEc3_39154trans	315	1201.88	22.711	2.45084
ApoEc3_39341trans	426	2556.05	1.23991	0.062916
ApoEc3_39701trans	606	2854.77	36	1.63558
ApoEc3_40010trans	558	445.879	0	0
ApoEc3_40590trans	564	451.879	0.238597	0.0684833
ApoEc3_40591trans	333	481.111	0	0
ApoEc3_40623trans	321	209.395	0	0
ApoEc3_40684trans	519	406.911	0	0
ApoEc3_40845trans	339	986.308	4.69883	0.6179
ApoEc3_40937trans	300	188.611	0	0
ApoEc3_40988trans	324	212.363	0	0
ApoEc3_41562trans	600	3089.81	69.4298	2.91444
ApoEc3_41734trans	417	305.014	0	0
ApoEc3_42411trans	525	1002.45	6.97912	0.902985
ApoEc3_42617trans	447	334.964	0	0
ApoEc3_42679trans	495	2187.96	0.899342	0.0533121
ApoEc3_42919trans	315	203.427	0	0
ApoEc3_43230trans	336	685.909	16.4065	3.10235
ApoEc3_43487trans	576	2464.72	36.9554	1.94469
ApoEc3_43631trans	354	551.326	5.03724	1.18502
ApoEc3_43645trans	768	655.879	0.70144	0.13871
ApoEc3_43670trans	309	1461.93	61.6151	5.4664
ApoEc3_43717trans	531	2363.7	0	0
ApoEc3_43718trans	375	590.367	1	0.219694
ApoEc3_44116trans	1035	6096.42	688.665	14.6512
ApoEc3_44310trans	402	290.014	2.65924	1.18927
ApoEc3_44811trans	507	2622.79	9.21661	0.455773
ApoEc3_45094trans	1047	5588.67	21.5493	0.50011
ApoEc3_45473trans	531	2285.18	36	2.04326
ApoEc3_45547trans	1317	7620.73	1094.34	18.6251
ApoEc3_45558trans	366	1294.88	0	0
ApoEc3_45560trans	657	3164.65	17.6505	0.723389
ApoEc3_47015trans	297	185.727	0	0
ApoEc3_47107trans	528	415.879	0	0
ApoEc3_47177trans	669	3246.65	0	0
ApoEc3_47324trans	315	1339.41	7	0.677835
ApoEc3_47398trans	309	197.536	0	0
ApoEc3_47614trans	306	194.552	0	0
ApoEc3_48059trans	504	2565.18	0	0
ApoEc3_48656trans	564	2619.73	1	0.049509
ApoEc3_48922trans	381	1701.47	0	0
ApoEc3_49310trans	873	4641.36	13.4075	0.374665
ApoEc3_49395trans	1182	6463.19	4.7255	0.0948291
ApoEc3_49693trans	429	899.665	3.28659	0.473811
ApoEc3_50127trans	729	3778.93	2.76254	0.0948158
ApoEc3_50188trans	531	2506.18	154.785	8.0105
ApoEc3_50236trans	555	2894.07	11.5424	0.517284
ApoEc3_50280trans	603	3502.53	5.83317	0.216005
ApoEc3_50655trans	486	2032.13	0	0
ApoEc3_50656trans	333	221.296	0	0
ApoEc3_50657trans	348	1376.56	1.42166	0.13395
ApoEc4_135trans	1851	4552.58	123.559	3.52012
ApoEc4_136trans	1152	6962.94	0	0
ApoEc4_159trans	540	2768.72	14.7364	0.690322
ApoEc4_214trans	1320	8112.77	0	0
ApoEc4_279trans	534	2289.57	1.48064	0.083876
ApoEc4_281trans	948	5256.97	0	0
